Variable Tag,Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,,matches played,innings played,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Best innings bowling,best match bowling,Bowling average,Bowling econ,sr,4w,5w,10 wicket hauls
95,0,0,0,S Badrinath,India,Chennai Super Kings,850000,83,68,21,1525,71*,1,1,32.44,1285,118.67,0,12,149,36,0.21686747,18,0,,83,2,0,18,22,0,1,01-01-16,01-01-16,22,7.33,18,0,0,0
96,1,1,1,Adam Gilchrist,Australia,Kings XI Punjab,900000,82,82,2,2156,109*,0,1,26.95,1497,144.02,3,11,234,110,0.695121951,57,22,,82,-,0,-,-,0,-,-,-,0,-,-,-,-,-
97,0,0,1,Daniel Christian,Australia,Deccan Chargers,900000,64,53,13,692,54,0,1,17.3,525,131.8,0,1,35,32,0.421875,27,0,,64,55,1,1069,1423,0,59,01-04-23,01-04-23,24.11,7.98,18.1,3,0,0
98,0,1,0,Dinesh Karthik,India,Kings XI Punjab,900000,86,75,15,1466,90*,0,1,24.43,1157,126.7,0,6,147,36,0.61627907,53,21,,86,1,0,12,10,0,1,01-10-11,01-10-11,10,5,12,0,0,0
99,0,0,1,Kieron Pollard (retained),West Indies,Mumbai Indians,900000,112,97,21,1990,89*,0,1,26.18,1222,162.84,0,9,128,137,0.455357143,51,0,,112,97,1,1700,2242,1,107,01-04-15,01-04-15,20.95,7.91,15.8,2,0,0
100,0,0,0,M Vijay (retained),India,Chennai Super Kings,900000,61,59,2,1598,127,0,1,28.03,1243,128.55,1,9,127,73,0.426229508,26,0,,61,1,0,6,4,0,0,-,-,0,4,-,0,0,0
101,0,0,0,Piyush Chawla,India,Kings XI Punjab,900000,72,41,14,396,33,0,1,14.66,349,113.46,0,0,35,10,0.291666667,21,0,,72,72,1,1475,1838,1,75,01-04-17,01-04-17,24.5,7.47,19.6,1,0,0
102,0,0,0,Sreesanth,India,Kochi,900000,53,17,10,72,19*,0,0,10.28,91,79.12,0,0,13,0,0.169811321,9,0,,53,52,1,1062,1476,0,45,01-03-29,01-03-29,32.8,8.33,23.6,0,0,0
103,0,0,0,Zaheer Khan,India,Royal Challengers Bangalore,900000,75,33,18,157,26,0,0,10.46,160,98.12,0,0,15,2,0.24,18,0,,75,75,1,1668,2148,0,75,01-04-19,01-04-19,28.64,7.72,22.2,1,0,0
104,0,0,1,Angelo Mathews,Sri Lanka,Pune Warriors,950000,54,46,13,857,65*,0,1,25.96,708,121.04,0,3,67,24,0.388888889,21,0,,54,39,1,673,894,0,32,01-04-19,01-04-19,27.93,7.97,21,1,0,0
105,0,0,1,Johan Botha,South Africa,Rajasthan Royals,950000,91,69,25,934,67*,0,1,21.22,849,110.01,0,2,71,16,0.406593407,37,0,,91,88,1,1986,1985,1,82,01-04-16,01-04-16,24.2,5.99,24.2,2,0,0
106,0,0,0,Ravindra Jadeja,India,Kochi,950000,54,43,9,832,47,0,1,24.47,711,117.01,0,0,60,28,0.333333333,18,0,,54,39,1,645,790,0,21,01-03-15,01-03-15,37.61,7.34,30.7,0,0,0
107,0,0,1,Ross Taylor,New Zealand,Rajasthan Royals,1000000,114,107,23,2788,111*,1,1,33.19,1895,147.12,1,14,205,164,0.49122807,56,0,,114,15,0,186,280,0,8,01-03-28,01-03-28,35,9.03,23.2,0,0,0
108,0,1,1,AB de Villiers,South Africa,Royal Challengers Bangalore,1100000,88,81,16,1911,105*,0,1,29.4,1516,126.05,1,11,145,62,0.784090909,69,8,,88,-,0,-,-,0,-,-,-,0,-,-,-,-,-
109,0,0,1,Cameron White,Australia,Deccan Chargers,1100000,94,89,23,2064,141*,1,1,31.27,1541,133.93,2,10,125,104,0.404255319,38,0,,94,26,1,334,503,0,23,04-10-11,04-10-11,21.86,9.03,14.5,1,0,0
110,0,0,1,Jacques Kallis,South Africa,Kolkata Knight Riders,1100000,82,81,12,2402,89*,1,1,34.81,2107,114,0,21,246,51,0.402439024,33,0,,82,68,1,1256,1652,0,43,01-03-16,01-03-16,38.41,7.89,29.2,0,0,0
